Objekt,Cleaning1,Cleaning1Frequency,Cleaning1LastDate,Cleaning1NextDate,Cleaning2,Cleaning2Frequency,Cleaning2LastDate,Cleaning2NextDate,Area,Typ,MoveBothObjects,WillBeEmailed,PufNamn,Active
Balanssystemet,Lutdisk,90,2018-09-02,2018-12-01,,,,,Jäskällaren,Sällan,FALSE,TRUE,,
JT 78,Lutdisk,14,2018-08-22,2018-09-05,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=78,
Disk av sockermottagningen,Genomförd,31,2018-04-27,2018-05-28,,,,,Jäskällaren,Sällan,FALSE,TRUE,,
JT 83,Lutdisk,14,2018-07-26,2018-08-09,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=83,
Nya rundkörningen,Genomförd,7,2018-11-02,2018-11-09,,,,,Jäskällaren,Veckoavslut,FALSE,TRUE,,
Rundkörningen jästledning,Genomförd,31,2018-09-21,2018-10-22,,,,,Jäskällaren,Veckoavslut,FALSE,TRUE,,
Rengöring av Lundin,Genomförd,7,2018-11-04,2018-11-11,,,,,Jäskällaren,Veckoavslut,FALSE,TRUE,,
Silar i sockermottagningen (2st),Genomförd,7,2018-11-04,2018-11-11,,,,,Jäskällaren,Veckoavslut,FALSE,TRUE,,
Nybered balja gång 2 & mellangång,Genomförd,7,2018-11-04,2018-11-11,,,,,Jäskällaren,Veckoavslut,FALSE,TRUE,,
Rensa gångar på pumpar & slangar,Genomförd,7,2018-11-04,2018-11-11,,,,,Jäskällaren,Veckoavslut,FALSE,TRUE,,
Rengör pumpar & slangar,Genomförd,7,2018-11-04,2018-11-11,,,,,Jäskällaren,Veckoavslut,FALSE,TRUE,,
Kalibrera & Rengör Anton Paar,Veckorengöring,7,2018-11-04,2018-11-11,Månadsrengöring,28,2018-11-04,2018-12-02,Jäskällaren,Veckoavslut,TRUE,TRUE,,
Byta luftfilter försörjningsluft JB,Genomförd,100,2017-11-05,2018-02-13,,,,,Jäskällaren,Sällan,FALSE,TRUE,,
Byta luftfilter jästbehållare,Genomförd,100,2017-11-06,2018-02-14,,,,,Jäskällaren,Sällan,FALSE,TRUE,,
Rengöring Maltgropen,Genomförd,200,2017-09-05,2018-03-24,,,,,Jäskällaren,Sällan,FALSE,TRUE,,
Rengöring Maltsilo 1,Rengjord,390,2017-02-05,2018-03-02,,,,,Brygghuset,Sällan,FALSE,TRUE,,
Rengöring Maltsilo 2,Rengjord,390,2018-03-08,2019-04-02,,,,,Brygghuset,Sällan,FALSE,TRUE,,
Rengöring Maltsilo 3,Rengjord,390,2017-02-05,2018-03-02,,,,,Brygghuset,Sällan,FALSE,TRUE,,
Gamla rundkörningen,Genomförd,7,2018-10-19,2018-10-26,,,,,Jäskällaren,Veckoavslut,FALSE,TRUE,,
Rengöring Maltsilo 4,Rengjord,390,2017-02-05,2018-03-02,,,,,Brygghuset,Sällan,FALSE,TRUE,,
