Objekt	Date	CleaningType
BBT 316	2017-05-30	Lutdisk
BBT 310	2017-05-31	Syradisk
BBT 325	2017-06-01	Lutdisk
BBT 321	2017-06-01	Lutdisk
BBT 322	2017-06-01	Lutdisk
303 Vattentank	2017-06-02	Lutdisk
BBT 324	2017-06-02	Lutdisk
BBT 315	2017-06-02	Syradisk
Filtret-Veckoavslut	2017-06-04	Lutsterilning
BBT 313	2017-06-04	Syradisk
T34	2017-06-04	Syradisk
T45	2017-06-04	Syradisk
BBT 316	2017-06-05	Syradisk
T34	2017-06-05	Syradisk
Filtret	2017-06-05	Rengjord
BBT 323	2017-06-05	Syradisk
BBT 309	2017-06-05	Syradisk
BBT 307	2017-06-06	Syradisk
BBT 305	2017-06-07	Syradisk
BBT 314	2017-06-07	Syradisk
BBT 308	2017-06-07	Syradisk
BBT 311	2017-06-07	Lutdisk
BBT 312	2017-06-07	Lutdisk
BBT 304	2017-06-07	Lutdisk
BBT 306	2017-06-07	Lutdisk
BBT 310	2017-06-08	Syradisk
BBT 322	2017-06-08	Syradisk
BBT 315	2017-06-08	Lutdisk
Filtret-Veckoavslut	2017-06-09	Lutsterilning
Maltax	2017-06-09	Rengjord
Vattenfilter	2017-06-09	Syradisk
T45	2017-06-09	Dubbeldisk
T34	2017-06-09	Lutdisk
Filtret-Veckoavslut	2017-06-09	Lutsterilning
Aldox	2017-06-09	Syradisk
BBT 309	2017-06-11	Syradisk
BBT 307	2017-06-11	Syradisk
BBT 304	2017-06-11	Syradisk
BBT 308	2017-06-11	Lutdisk
BBT 318	2017-06-11	Lutdisk
BBT 325	2017-06-11	Syradisk
BBT 324	2017-06-11	Syradisk
BBT 315	2017-06-12	Syradisk
Filtret	2017-06-12	Rengjord
BBT 324	2017-06-12	Syradisk
BBT 313	2017-06-12	Lutdisk
BBT 319	2017-06-13	Lutdisk
BBT 305	2017-06-13	Lutdisk
BBT 317	2017-06-13	Lutdisk
BBT 314	2017-06-14	Lutdisk
BBT 314	2017-06-14	Syradisk
BBT 316	2017-06-14	Syradisk
BBT 312	2017-06-14	Syradisk
BBT 315	2017-06-14	Syradisk
BBT 307	2017-06-15	Lutdisk
BBT 321	2017-06-16	Syradisk
T34	2017-06-18	Syradisk
Filtret-Veckoavslut	2017-06-18	Lutsterilning
Gamla runtkörningen	2017-06-18	Totaldisk
T45	2017-06-18	Syradisk
BBT 309	2017-06-18	Lutdisk
BBT 311	2017-06-18	Syradisk
BBT 318	2017-06-19	Syradisk
BBT 322	2017-06-19	Syradisk
BBT 313	2017-06-19	Syradisk
BBT 308	2017-06-19	Syradisk
BBT 311	2017-06-19	Syradisk
BBT 307	2017-06-19	Syradisk
BBT 319	2017-06-19	Syradisk
BBT 317	2017-06-20	Syradisk
BBT 325	2017-06-21	Syradisk
BBT 325	2017-06-21	Lutdisk
BBT 324	2017-06-21	Syradisk
BBT 318	2017-06-21	Syradisk
BBT 308	2017-06-22	Syradisk
BBT 306	2017-06-22	Syradisk
BBT 321	2017-06-22	Lutdisk
Stora balanssystemet (1)	2017-06-22	Lutdisk
T34	2017-06-22	Syradisk
Maltax	2017-06-22	Rengjord
Vattenfilter	2017-06-22	Syradisk
Lilla balanssystemet (2)	2017-06-22	Lutdisk
Filtret-Veckoavslut	2017-06-22	Lutsterilning
BBT 317	2017-06-25	Syradisk
BBT 304	2017-06-26	Lutdisk
BBT 314	2017-06-26	Lutdisk
BBT 315	2017-06-26	Lutdisk
BBT 305	2017-06-26	Syradisk
BBT 322	2017-06-26	Lutdisk
BBT 311	2017-06-26	Syradisk
BBT 318	2017-06-26	Syradisk
BBT 323	2017-06-27	Lutdisk
BBT 324	2017-06-27	Lutdisk
BBT 306	2017-06-27	Lutdisk
BBT 307	2017-06-27	Syradisk
BBT 312	2017-06-27	Syradisk
BBT 309	2017-06-28	Syradisk
BBT 316	2017-06-28	Lutdisk
BBT 325	2017-06-28	Syradisk
BBT 310	2017-06-28	Lutdisk
BBT 321	2017-06-29	Lutdisk
T34	2017-06-29	Lutdisk
